"Time (s)","Pressure (hPa)"
5.212537360E2,9.763245392E2
5.222543130E2,9.765928650E2
5.232548880E2,9.768578339E2
5.242554660E2,9.771218872E2
5.252560420E2,9.773845673E2
5.262566180E2,9.776516724E2
5.272571940E2,9.779143524E2
5.282577710E2,9.781797791E2
5.292583480E2,9.784537506E2
5.302589240E2,9.787280273E2
5.312595010E2,9.789942169E2
5.322600770E2,9.792530823E2
5.332606590E2,9.795127869E2
5.342612300E2,9.797702789E2
5.352620430E2,9.800304413E2
5.362623840E2,9.802951813E2
5.372629590E2,9.805588531E2
5.382635360E2,9.808220673E2
5.392641140E2,9.810817719E2
5.402646900E2,9.813375854E2
5.412652650E2,9.815937042E2
5.422658380E2,9.818599701E2
5.432664160E2,9.821263123E2
5.442669920E2,9.823878479E2
5.452675670E2,9.826502991E2
5.462681450E2,9.829095459E2
5.472687200E2,9.831633759E2
5.482692970E2,9.834167480E2
5.492698760E2,9.836687469E2
5.502704520E2,9.839221954E2
5.512710720E2,9.841722870E2
5.522716020E2,9.844280243E2
5.532721770E2,9.846791840E2
5.542727540E2,9.849335480E2
5.552733320E2,9.851927185E2
5.562739090E2,9.854523468E2
5.572744900E2,9.857040405E2
5.582750630E2,9.859526825E2
5.592756370E2,9.862035370E2
5.602762130E2,9.864508057E2
5.612767880E2,9.867023468E2
5.622773680E2,9.869514465E2
5.632779410E2,9.872003174E2
5.642785300E2,9.874436188E2
5.652790980E2,9.876846313E2
5.662796710E2,9.879254913E2
5.672802470E2,9.881661987E2
5.682808260E2,9.884162903E2
5.692814030E2,9.886732483E2
5.702819790E2,9.889268494E2
5.712825520E2,9.891776276E2
5.722831280E2,9.894253540E2
5.732837030E2,9.896650696E2
5.742842840E2,9.899059296E2
5.752848580E2,9.901486969E2
5.762854330E2,9.903899384E2
5.772860130E2,9.906324768E2
5.782865880E2,9.908775330E2
5.792871640E2,9.911228943E2
5.802877390E2,9.913674164E2
5.812883160E2,9.916054535E2
5.822888930E2,9.918399048E2
5.832894700E2,9.920707703E2
5.842900460E2,9.922845459E2
5.852906250E2,9.924824524E2
5.862911980E2,9.926725006E2
5.872917740E2,9.928521729E2
5.882923500E2,9.930162048E2
5.892929280E2,9.931723022E2
5.902935040E2,9.933160400E2
5.912940820E2,9.934527588E2
5.922946570E2,9.935819244E2
5.932956520E2,9.937023163E2
5.942958080E2,9.938155365E2
5.952963830E2,9.939245605E2
5.962969600E2,9.940226746E2
5.972975360E2,9.941095734E2
5.982981150E2,9.941828156E2
5.992986910E2,9.942408752E2
6.002992650E2,9.942939758E2
6.012998440E2,9.943383789E2
6.023004200E2,9.943798065E2
6.033009970E2,9.944215393E2
6.043015740E2,9.944637299E2
6.053021470E2,9.945034790E2
6.063027240E2,9.945420074E2
6.073033000E2,9.945777893E2
6.083038800E2,9.946112061E2
6.093044510E2,9.946447754E2
6.103050300E2,9.946720123E2
6.113056050E2,9.946994019E2
6.123061830E2,9.947271729E2
6.133067580E2,9.947512054E2
6.143073370E2,9.947752380E2
6.153079130E2,9.948014069E2
6.163084920E2,9.948235321E2
6.173090660E2,9.948436737E2
6.183096380E2,9.948678589E2
6.193102150E2,9.948881531E2
6.203107930E2,9.949089813E2
6.213113700E2,9.949304962E2
6.223119500E2,9.949494934E2
6.233125220E2,9.949636841E2
6.243130980E2,9.949777985E2
6.253136750E2,9.949907684E2
6.263142520E2,9.949977875E2
6.273148270E2,9.950061798E2
6.283154040E2,9.950171661E2
6.293160920E2,9.950260925E2
6.303165550E2,9.950337219E2
6.313171360E2,9.950446320E2
6.323177080E2,9.950569153E2
