"Time (s)","Pressure (hPa)"
1.455861128E1,8.799921875E2
1.458368318E1,8.799952393E2
1.460874043E1,8.799891357E2
1.463381425E1,8.800043945E2
1.465890609E1,8.800288086E2
1.468398152E1,8.800349121E2
1.470905448E1,8.800227051E2
1.473413008E1,8.800410156E2
1.475920341E1,8.800715332E2
1.478425635E1,8.800776367E2
1.480934880E1,8.800626221E2
1.483442212E1,8.800687256E2
1.485949280E1,8.800778809E2
1.488456991E1,8.800900879E2
1.490966565E1,8.800900879E2
1.493469430E1,8.800687256E2
1.495974850E1,8.800473633E2
1.498486219E1,8.800565186E2
1.500991806E1,8.800900879E2
1.503500814E1,8.800900879E2
1.506003638E1,8.800687256E2
1.508513766E1,8.800900879E2
1.511023231E1,8.801297607E2
1.513530689E1,8.801206055E2
1.516037867E1,8.800931396E2
1.518545419E1,8.801145020E2
1.521047971E1,8.801328125E2
1.523558037E1,8.801022949E2
1.526071258E1,8.800900879E2
1.528572031E1,8.801358643E2
1.531080112E1,8.801633301E2
1.533584857E1,8.801480713E2
1.536093804E1,8.801572266E2
1.538601951E1,8.801755371E2
1.541109568E1,8.801633301E2
1.543616681E1,8.801358643E2
1.546122410E1,8.801358643E2
1.548631463E1,8.801419678E2
1.551138934E1,8.801480713E2
1.553646413E1,8.801633301E2
1.556153990E1,8.801846924E2
1.558663332E1,8.801877441E2
1.561170485E1,8.801846924E2
1.563678119E1,8.801938477E2
1.566185285E1,8.802213135E2
1.568692800E1,8.802396240E2
1.571200112E1,8.802335205E2
1.573707367E1,8.802213135E2
1.576212539E1,8.802219849E2
1.578720063E1,8.802189331E2
1.581226113E1,8.802189331E2
1.583734882E1,8.802372437E2
1.586242406E1,8.802494507E2
1.588749852E1,8.802311401E2
1.591255602E1,8.802097778E2
1.593764537E1,8.802250366E2
1.596271996E1,8.802586060E2
1.598779312E1,8.802799683E2
1.601286909E1,8.802738647E2
1.603794144E1,8.802616577E2
1.606301899E1,8.802555542E2
1.608809228E1,8.802616577E2
1.611316528E1,8.802799683E2
1.613824255E1,8.802921753E2
1.616329866E1,8.802921753E2
1.618839078E1,8.802921753E2
1.621346553E1,8.803043823E2
1.623853995E1,8.803067627E2
1.626361409E1,8.803067627E2
1.628868782E1,8.803189697E2
1.631376229E1,8.803159180E2
1.633883720E1,8.803037109E2
1.636390995E1,8.803159180E2
1.638899801E1,8.803433838E2
1.641405982E1,8.803433838E2
1.643913208E1,8.803372803E2
1.646420829E1,8.803433838E2
1.648927946E1,8.803403320E2
1.651435885E1,8.803311768E2
1.653942636E1,8.803372803E2
1.656449756E1,8.803647461E2
1.658957150E1,8.804013672E2
1.661464588E1,8.804135742E2
1.663969764E1,8.803983154E2
1.666479232E1,8.803769531E2
1.668986675E1,8.803800049E2
1.671493918E1,8.803923950E2
1.674001401E1,8.803954468E2
1.676507337E1,8.803954468E2
1.679016696E1,8.803862915E2
1.681524106E1,8.803801880E2
1.684031833E1,8.803954468E2
1.686539312E1,8.804229126E2
1.689046958E1,8.804229126E2
1.691554473E1,8.804168091E2
1.694061740E1,8.804259644E2
1.696569468E1,8.804381714E2
1.699075636E1,8.804290161E2
1.701584600E1,8.804198608E2
1.704090818E1,8.804412231E2
1.706599436E1,8.804595337E2
1.709107017E1,8.804656372E2
1.711614581E1,8.804503784E2
1.714120738E1,8.804503784E2
1.716629653E1,8.804412231E2
1.719137197E1,8.804313965E2
1.721644704E1,8.804680176E2
1.724150730E1,8.805107422E2
1.726659629E1,8.804924316E2
1.729167169E1,8.804527588E2
1.731674612E1,8.804680176E2
1.734182127E1,8.804832764E2
1.736689663E1,8.804832764E2
1.739196739E1,8.804893799E2
1.741704458E1,8.805015869E2
1.744211786E1,8.804832764E2
1.746721194E1,8.804802246E2
1.749226716E1,8.805229492E2
1.751734089E1,8.805382080E2
1.754241637E1,8.805046387E2
1.756749242E1,8.804802246E2
1.759256827E1,8.805046387E2
1.761763268E1,8.805351562E2
1.764273876E1,8.805595703E2
1.766779687E1,8.805570068E2
1.769287161E1,8.805570068E2
1.771793029E1,8.805844727E2
1.774300174E1,8.806088867E2
1.776807861E1,8.805936279E2
1.779316686E1,8.805631104E2
1.781824218E1,8.805447998E2
1.784331599E1,8.805539551E2
1.786839062E1,8.805722656E2
1.789346667E1,8.805875244E2
1.791855582E1,8.805905762E2
1.794362012E1,8.805661621E2
1.796869503E1,8.805661621E2
1.799377222E1,8.805753174E2
1.801884733E1,8.805783691E2
1.804390767E1,8.805722656E2
1.806899455E1,8.806058350E2
1.809406865E1,8.806271973E2
1.811914685E1,8.806241455E2
1.814422180E1,8.806121216E2
1.816928048E1,8.806182251E2
1.819437049E1,8.806273804E2
1.821943067E1,8.806243286E2
1.824450660E1,8.806304321E2
1.826958188E1,8.806212769E2
1.829465703E1,8.806243286E2
1.831974655E1,8.806304321E2
1.834482431E1,8.806426392E2
1.836989861E1,8.806487427E2
1.839497454E1,8.806487427E2
1.842002866E1,8.806365356E2
1.844512505E1,8.806212769E2
1.847019931E1,8.806182251E2
1.849527390E1,8.806426392E2
1.852035109E1,8.806578979E2
1.854541212E1,8.806487427E2
1.857050237E1,8.806365356E2
1.859557867E1,8.806456909E2
1.862065154E1,8.806790771E2
1.864572698E1,8.806882324E2
1.867079754E1,8.806790771E2
1.869587608E1,8.806912842E2
1.872095168E1,8.807126465E2
1.874602830E1,8.806882324E2
1.877108787E1,8.806668701E2
1.879618085E1,8.806790771E2
1.882125726E1,8.807034912E2
1.884633453E1,8.807065430E2
1.887141254E1,8.807126465E2
1.889649095E1,8.807279053E2
1.892156549E1,8.807279053E2
1.894664305E1,8.807218018E2
1.897171906E1,8.807248535E2
1.899679206E1,8.807492676E2
1.902187083E1,8.807553711E2
1.904694599E1,8.807462158E2
1.907200605E1,8.807431641E2
1.909709829E1,8.807701416E2
1.912217223E1,8.807854004E2
1.914725113E1,8.807823486E2
1.917232758E1,8.807701416E2
1.919738557E1,8.807731934E2
1.922247627E1,8.807731934E2
1.924754833E1,8.807701416E2
1.927262650E1,8.807701416E2
1.929770104E1,8.807670898E2
1.932276533E1,8.807792969E2
1.934785005E1,8.807854004E2
1.937292215E1,8.807884521E2
1.939799735E1,8.807945557E2
1.942306160E1,8.808189697E2
1.944813130E1,8.808250732E2
1.947320532E1,8.808250732E2
1.949829663E1,8.808311768E2
1.952336303E1,8.808311768E2
1.954844096E1,8.808250732E2
1.957351904E1,8.808103027E2
1.959858826E1,8.808194580E2
1.962366247E1,8.808377686E2
1.964873792E1,8.808560791E2
1.967381128E1,8.808652344E2
1.969889559E1,8.808621826E2
1.972395671E1,8.808499756E2
1.974903211E1,8.808560791E2
1.977410681E1,8.808713379E2
1.979917941E1,8.808713379E2
1.982423222E1,8.808652344E2
1.984932317E1,8.808591309E2
1.987439730E1,8.808682861E2
1.989947079E1,8.808713379E2
1.992454249E1,8.808774414E2
1.994961496E1,8.808804932E2
1.997469060E1,8.808774414E2
1.999976466E1,8.808713379E2
2.002483859E1,8.808804932E2
2.004991566E1,8.808983154E2
2.007498919E1,8.809013672E2
2.010006361E1,8.808952637E2
2.012512159E1,8.809044189E2
2.015021221E1,8.809379883E2
2.017528643E1,8.809593506E2
2.020035776E1,8.809532471E2
2.022543434E1,8.809440918E2
2.025049131E1,8.809562988E2
2.027557895E1,8.809685059E2
2.030064361E1,8.809715576E2
2.032572784E1,8.809776611E2
2.035080279E1,8.809807129E2
2.037586167E1,8.809837646E2
2.040094932E1,8.809837646E2
2.042601792E1,8.809868164E2
2.045109743E1,8.809868164E2
2.047617242E1,8.809898682E2
2.050123110E1,8.810020752E2
2.052632042E1,8.810114746E2
2.055138003E1,8.810084229E2
2.057647040E1,8.810023193E2
2.060154661E1,8.810084229E2
2.062662010E1,8.810236816E2
2.065169408E1,8.810328369E2
2.067675849E1,8.810206299E2
2.070184557E1,8.809992676E2
2.072691710E1,8.810084229E2
2.075199128E1,8.810419922E2
2.077706753E1,8.810572510E2
2.080212340E1,8.810480957E2
2.082721442E1,8.810480957E2
2.085228852E1,8.810572510E2
2.087736348E1,8.810572510E2
2.090244022E1,8.810541992E2
2.092751509E1,8.810541992E2
2.095258947E1,8.810450439E2
2.097766060E1,8.810511475E2
2.100273583E1,8.810820923E2
2.102780940E1,8.811095581E2
2.105288537E1,8.811095581E2
2.107796020E1,8.810912476E2
2.110301953E1,8.810698853E2
2.112810620E1,8.810729370E2
2.115317936E1,8.810973511E2
2.117822457E1,8.811217651E2
2.120332572E1,8.811309204E2
2.122838167E1,8.811248169E2
2.125347241E1,8.811370239E2
2.127854517E1,8.811431274E2
2.130361800E1,8.811431274E2
2.132869035E1,8.811309204E2
2.135376380E1,8.811278687E2
2.137883444E1,8.811309204E2
2.140389474E1,8.811339722E2
2.142897791E1,8.811370239E2
2.145405384E1,8.811309204E2
2.147912496E1,8.811307373E2
2.150419841E1,8.811368408E2
2.152927247E1,8.811520996E2
2.155434091E1,8.811490479E2
2.157941610E1,8.811520996E2
2.160448870E1,8.811673584E2
2.162956056E1,8.811734619E2
2.165463380E1,8.811795654E2
2.167970403E1,8.812009277E2
2.170478814E1,8.812100830E2
2.172983448E1,8.811917725E2
2.175492587E1,8.811643066E2
2.177999834E1,8.811795654E2
2.180506829E1,8.812131348E2
